Sales_Person,Geo,Product_ID,Date,Amount,Customers,Boxes
SP01,G4,P04,01/01/21,8414,276,495
SP02,G3,P14,01/01/21,532,317,54
SP12,G2,P08,01/01/21,5376,178,269
SP01,G4,P15,01/01/21,259,32,22
SP19,G2,P18,01/01/21,5530,4,179
SP17,G1,P13,01/01/21,2184,63,122
SP20,G6,P04,01/01/21,1057,295,71
SP14,G5,P16,01/01/21,1036,370,37
SP10,G5,P17,01/01/21,4039,536,176
SP06,G4,P01,01/01/21,12894,115,478
SP18,G2,P01,01/01/21,4669,121,180
SP04,G4,P16,01/01/21,6377,184,246
SP22,G3,P05,01/01/21,4599,106,256
SP22,G2,P09,01/01/21,2751,228,251
SP10,G1,P06,01/01/21,15596,32,975
SP06,G1,P11,01/01/21,8561,111,330
SP25,G6,P05,01/01/21,14273,335,752
SP02,G4,P13,01/01/21,2506,99,148
SP19,G3,P10,01/01/21,2387,134,89
SP09,G2,P07,01/01/21,7553,67,280
SP22,G4,P22,01/01/21,3409,93,171
SP15,G2,P22,01/01/21,3878,24,216
SP12,G2,P04,01/01/21,3052,76,204
SP18,G2,P21,01/04/21,19229,64,1013
SP15,G6,P21,01/04/21,1988,179,95
SP12,G6,P09,01/04/21,147,9,11
SP20,G6,P12,01/04/21,2401,407,134
SP11,G2,P17,01/04/21,2814,296,94
SP06,G6,P17,01/04/21,5390,61,216
SP23,G3,P02,01/04/21,3920,16,262
SP19,G3,P19,01/04/21,7539,502,943
SP23,G1,P16,01/05/21,17248,163,664
SP18,G6,P03,01/05/21,1176,152,66
SP17,G5,P13,01/05/21,9730,361,573
SP16,G4,P13,01/05/21,2226,129,140
SP18,G6,P12,01/05/21,7063,250,643
SP07,G4,P11,01/05/21,7399,420,275
SP04,G2,P09,01/05/21,4284,230,306
SP07,G4,P04,01/05/21,4865,168,271
SP06,G4,P19,01/05/21,3780,111,315
SP13,G1,P09,01/05/21,3059,484,279
SP11,G6,P11,01/05/21,6622,57,276
SP04,G1,P20,01/06/21,644,116,34
SP08,G1,P11,01/06/21,4935,87,171
SP13,G6,P22,01/06/21,7182,29,378
SP09,G5,P09,01/06/21,539,10,77
SP20,G6,P19,01/06/21,637,79,91
SP07,G2,P15,01/06/21,1470,57,184
SP10,G2,P13,01/06/21,1442,108,61
SP11,G2,P20,01/06/21,9023,224,564
SP03,G6,P01,01/06/21,2709,27,101
SP19,G3,P21,01/07/21,5733,193,338
SP05,G3,P02,01/07/21,10451,155,1307
SP18,G1,P18,01/07/21,11228,236,388
SP15,G6,P17,01/07/21,3073,137,129
SP09,G5,P13,01/07/21,5467,109,288
SP08,G2,P20,01/07/21,4067,272,226
SP02,G1,P05,01/08/21,2814,69,149
SP24,G4,P17,01/08/21,2716,299,105
SP22,G5,P09,01/08/21,3570,61,325
SP12,G1,P13,01/08/21,9562,123,479
SP17,G4,P22,01/08/21,2373,2,104
SP08,G1,P17,01/08/21,2807,236,123
SP10,G2,P01,01/08/21,420,196,14
SP06,G2,P04,01/08/21,8239,157,515
SP05,G4,P02,01/08/21,6797,114,486
SP22,G4,P13,01/08/21,6048,56,319
SP05,G5,P04,01/08/21,364,14,21
SP19,G5,P14,01/08/21,6496,15,406
SP24,G2,P09,01/08/21,1057,45,106
SP08,G6,P04,01/08/21,357,185,17
SP08,G5,P07,01/08/21,6419,359,257
SP08,G3,P10,01/08/21,12726,179,579
SP16,G2,P13,01/11/21,6006,109,376
SP15,G6,P08,01/11/21,5124,33,285
SP23,G4,P01,01/11/21,2709,188,113
SP01,G5,P01,01/11/21,7238,67,315
SP06,G1,P14,01/12/21,6776,68,424
SP11,G6,P01,01/12/21,189,123,8
SP08,G2,P12,01/12/21,4669,217,390
SP01,G3,P19,01/12/21,490,188,35
SP08,G5,P19,01/12/21,4235,76,283
SP13,G2,P07,01/12/21,4487,161,187
SP02,G3,P15,01/12/21,2653,147,332
SP04,G4,P10,01/12/21,5306,5,253
SP16,G2,P02,01/12/21,6888,112,689
SP08,G4,P16,01/12/21,721,45,24
SP14,G1,P10,01/12/21,8610,124,345
SP10,G2,P12,01/12/21,11739,22,903
SP16,G1,P09,01/13/21,4774,206,341
SP10,G3,P02,01/13/21,6307,123,789
SP21,G3,P08,01/13/21,4340,168,217
SP09,G1,P19,01/13/21,1078,76,77
SP13,G6,P03,01/13/21,5418,287,247
SP03,G2,P21,01/13/21,6069,268,434
SP15,G2,P21,01/13/21,12334,119,686
SP08,G6,P07,01/13/21,728,234,32
SP21,G1,P15,01/13/21,2135,179,165
SP07,G4,P13,01/13/21,2121,130,89
SP12,G6,P01,01/14/21,6881,10,222
SP24,G4,P07,01/14/21,1239,97,50
SP16,G5,P05,01/14/21,3598,365,257
SP18,G3,P20,01/14/21,6580,210,347
SP08,G6,P10,01/14/21,1127,97,54
SP22,G1,P22,01/14/21,3605,345,139
SP09,G4,P11,01/14/21,5096,201,196
SP25,G2,P08,01/14/21,2135,183,98
SP13,G2,P04,01/14/21,35,142,3
SP11,G1,P19,01/14/21,13090,17,935
SP05,G6,P20,01/14/21,15785,209,1128
SP20,G5,P12,01/14/21,14574,86,810
SP11,G4,P17,01/14/21,3556,195,143
SP02,G2,P12,01/14/21,14532,142,969
SP23,G4,P17,01/14/21,4445,340,159
SP17,G2,P01,01/14/21,10339,207,357
SP03,G4,P11,01/14/21,1351,282,55
SP02,G4,P15,01/14/21,4011,260,335
SP17,G6,P12,01/14/21,5306,333,483
SP24,G2,P11,01/14/21,18704,78,585
SP21,G3,P20,01/14/21,9310,62,582
SP04,G4,P06,01/14/21,1211,37,61
SP09,G3,P04,01/15/21,3094,317,148
SP17,G4,P04,01/15/21,4949,244,248
SP06,G4,P08,01/15/21,308,91,19
